Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM,PlayerID
1,Jake Allen,33,TOT,34,33,12,18,4,114,1087,973,0.895,3.44,0,5.3,1987,15,0.455,8,108,-8.93,0,1,1,2,allenja01
2,Frederik Andersen,34,CAR,16,16,13,2,0,28,410,382,0.932,1.84,3,3.5,913,12,0.75,2,71,11.63,0,1,1,0,anderfr01
3,Justus Annunen,23,COL,14,12,8,4,1,30,414,384,0.928,2.25,2,3.4,801,8,0.667,0,75,10.02,0,0,0,0,annunju01
4,Kenneth Appleby,28,NYI,1,0,0,0,0,2,8,6,0.75,6,0,-0.1,20,0,,0,,,0,0,0,0,appleke01
5,Yaroslav Askarov,21,NSH,2,1,1,0,0,2,35,33,0.943,1.47,0,0.3,82,1,1,0,,,0,0,0,0,askarya01
6,Jordan Binnington,30,STL,57,55,28,21,5,156,1786,1630,0.913,2.84,3,11.9,3291,33,0.6,7,90,16.64,0,3,3,8,binnijo01
7,Mackenzie Blackwood,27,SJS,44,41,10,25,4,140,1383,1243,0.899,3.45,2,7.3,2437,24,0.585,10,105,-6.32,0,0,0,2,blackma01
8,Sergei Bobrovsky,35,FLA,58,58,36,17,4,135,1584,1449,0.915,2.37,6,10.9,3414,37,0.638,7,88,18.11,0,2,2,4,bobrose01
9,Laurent Brossoit,30,WPG,23,22,15,5,2,45,620,575,0.927,2,3,5.1,1351,16,0.727,2,75,14.93,0,0,0,2,brossla01
10,Jack Campbell,32,EDM,5,5,1,4,0,20,157,137,0.873,4.5,0,0.4,267,1,0.2,2,,,0,0,0,0,campbja01
11,Magnus Chrona,23,SJS,9,8,1,6,1,37,262,225,0.859,4.71,0,0.3,471,3,0.375,5,,,0,0,0,0,chronma01
12,Eric Comrie,28,BUF,10,10,2,7,0,32,254,222,0.874,3.69,0,0.7,520,3,0.3,5,,,0,0,0,0,comrier01
13,Devin Cooley,26,SJS,6,6,2,3,1,25,192,167,0.87,4.98,0,0.4,301,2,0.333,3,,,0,0,0,0,coolede01
14,Pheonix Copley,32,LAK,8,8,4,1,2,23,177,154,0.87,3.16,1,0.4,436,2,0.25,3,,,0,0,0,0,copleph01
15,Joey Daccord,27,SEA,50,46,19,18,11,116,1374,1258,0.916,2.46,3,9.6,2833,30,0.652,5,87,16.81,0,0,0,0,daccojo01
16,Nico Daws,23,NJD,21,20,9,11,0,60,568,508,0.894,3.15,0,2.7,1144,10,0.5,6,109,-5.1,0,1,1,0,dawsni01
17,Thatcher Demko,28,VAN,51,51,35,14,2,123,1492,1369,0.918,2.45,5,10.7,3016,33,0.647,8,85,21.22,0,1,1,0,demkoth01
18,Casey DeSmith,32,VAN,29,27,12,9,6,80,759,679,0.895,2.89,1,3.7,1663,15,0.556,8,109,-6.63,0,1,1,0,desmica01
19,Louis Domingue,31,NYR,1,1,1,0,0,1,26,25,0.962,1,0,0.3,60,1,1,0,,,0,0,0,0,dominlo01
20,Lukáš Dostál,23,ANA,44,38,14,23,3,129,1310,1181,0.902,3.33,1,7.3,2323,17,0.447,5,102,-2.37,0,0,0,8,dostalu01
21,Chris Driedger,29,SEA,2,2,1,1,0,5,60,55,0.917,2.51,0,0.4,120,1,0.5,1,,,0,0,0,0,driedch01
22,Samuel Ersson,24,PHI,51,49,23,19,7,132,1204,1072,0.89,2.82,4,5.3,2809,27,0.551,13,113,-15.62,0,0,0,4,erssosa01
23,Ivan Fedotov,27,PHI,3,1,0,1,1,10,53,43,0.811,4.95,0,-0.2,121,0,0,1,,,0,0,0,0,fedotiv01
24,Marc-André Fleury,39,MIN,40,36,17,15,5,111,1056,945,0.895,2.98,2,5.2,2233,18,0.5,9,109,-8.93,0,1,1,4,fleurma01
25,Anton Forsberg,31,OTT,30,28,15,12,0,84,765,681,0.89,3.21,2,3.4,1570,14,0.5,10,114,-10.05,0,1,1,2,forsban01
26,Alexandar Georgiev,27,COL,63,62,38,18,5,183,1770,1587,0.897,3.02,2,9,3638,27,0.435,9,107,-11.91,0,2,2,4,georgal01
27,John Gibson,30,ANA,46,44,13,27,2,151,1343,1192,0.888,3.54,0,5.6,2561,21,0.477,11,116,-21.18,0,0,0,12,gibsojo02
28,Jet Greaves,22,CBJ,9,8,3,6,0,30,327,297,0.908,3.49,0,2,516,5,0.625,2,,,0,0,0,0,greavje01
29,Philipp Grubauer,32,SEA,36,34,14,16,2,95,941,846,0.899,2.85,2,5,1997,15,0.441,6,104,-4.04,0,1,1,4,grubaph01
30,Filip Gustavsson,25,MIN,45,43,20,18,4,129,1283,1154,0.899,3.06,3,6.9,2527,18,0.419,9,104,-4.98,0,1,1,0,gustafi01
31,Carter Hart,25,PHI,26,25,12,9,3,68,727,659,0.906,2.8,1,4.4,1455,14,0.56,5,97,2.27,0,1,1,0,hartca01
32,Magnus Hellberg,32,PIT,3,1,1,0,0,5,64,59,0.922,2.5,0,0.5,120,1,1,0,,,0,0,0,0,hellbma01
33,Connor Hellebuyck,30,WPG,60,60,37,19,4,142,1798,1656,0.921,2.39,5,13.6,3567,40,0.667,7,82,31.8,0,0,0,2,helleco01
34,Adin Hill,27,VEG,35,35,19,12,2,89,979,890,0.909,2.71,2,6.2,1969,19,0.543,7,94,5.63,0,1,1,0,hillad01
35,Joel Hofer,23,STL,30,27,15,12,1,72,830,758,0.913,2.65,1,5.6,1629,16,0.593,4,90,8.23,0,1,1,4,hoferjo01
36,Ville Husso,28,DET,19,18,9,5,2,60,556,496,0.892,3.55,0,2.6,1013,6,0.333,5,112,-6.26,0,1,1,0,hussovi01
37,Michael Hutchinson,33,DET,1,1,0,1,0,3,36,33,0.917,3.11,0,0.3,58,1,1,0,,,0,0,0,0,hutchmi01
38,Connor Ingram,26,ARI,50,48,23,21,3,136,1461,1325,0.907,2.91,6,8.9,2803,27,0.563,11,96,5.22,0,3,3,0,ingraco01
39,Tristan Jarry,28,PIT,51,48,19,25,5,133,1369,1236,0.903,2.91,6,7.8,2741,29,0.604,12,101,-0.67,1,0,1,4,jarrytr01
40,Jonas Johansson,28,TBL,26,24,12,7,5,83,752,669,0.89,3.37,2,3.3,1477,11,0.458,3,114,-10.31,0,0,0,0,johanjo03
41,Martin Jones,34,TOR,22,19,11,8,1,56,574,518,0.902,2.87,2,3.2,1170,10,0.526,2,101,-0.52,0,0,0,0,jonesma02
42,Kaapo Kähkönen,27,TOT,37,33,7,24,3,116,1139,1023,0.898,3.64,1,5.9,1914,16,0.485,7,105,-5.9,0,1,1,4,kahkoka01
43,Pyotr Kochetkov,24,CAR,42,40,23,13,4,92,1031,939,0.911,2.33,4,6.7,2371,23,0.575,7,92,7.66,0,0,0,8,kochepy01
44,Joonas Korpisalo,29,OTT,55,49,21,26,4,168,1523,1355,0.89,3.27,0,6.6,3080,22,0.449,11,114,-20.79,0,1,1,0,korpijo01
45,Darcy Kuemper,33,WSH,33,30,13,14,3,103,940,837,0.89,3.31,1,4.2,1867,14,0.467,10,113,-12.14,0,1,1,0,kuempda01
46,Kevin Lankinen,28,NSH,24,17,11,6,0,56,610,554,0.908,2.82,1,3.8,1191,9,0.529,3,95,2.96,0,1,1,0,lankike01
47,Devon Levi,22,BUF,23,21,10,8,2,67,666,599,0.899,3.1,0,3.6,1295,10,0.476,4,104,-2.62,0,0,0,0,levide01
48,Charlie Lindgren,30,WSH,50,48,25,16,7,127,1431,1304,0.911,2.67,6,9.4,2852,29,0.604,6,92,11.32,0,0,0,0,lindgch01
49,Ukko-Pekka Luukkonen,24,BUF,54,51,27,22,4,132,1470,1338,0.91,2.57,5,9.5,3081,34,0.667,6,93,10.09,0,1,1,8,luukkuk01
50,Alex Lyon,31,DET,44,43,21,18,5,127,1325,1198,0.904,3.05,2,7.7,2499,22,0.512,8,99,1.08,0,1,1,2,lyonal01
51,Jacob Markström,34,CGY,48,48,23,23,2,131,1379,1248,0.905,2.78,2,8.2,2831,26,0.542,5,98,2.3,0,5,5,0,marksja02
52,Spencer Martin,28,TOT,19,16,7,9,2,59,533,474,0.889,3.3,0,2.3,1072,7,0.438,5,115,-7.48,0,0,0,0,martisp01
53,Elvis Merzļikins,29,CBJ,41,40,13,17,8,130,1266,1136,0.897,3.45,1,6.5,2259,19,0.475,6,106,-7.63,0,0,0,4,merzlel01
54,Sam Montembeault,27,MTL,41,40,16,15,9,127,1307,1180,0.903,3.14,0,7.4,2429,28,0.7,6,101,-0.66,0,2,2,0,montesa01
55,Petr Mrázek,31,CHI,56,53,18,31,4,160,1724,1564,0.907,3.05,1,10.6,3153,29,0.547,7,96,6.64,0,0,0,14,mrazepe01
56,Matt Murray,25,DAL,1,1,1,0,0,0,23,23,1,0,1,0.4,60,1,1,0,,,0,0,0,0,murrama03
57,Alex Nedeljkovic,28,PIT,38,33,18,7,7,102,1039,937,0.902,2.97,1,5.8,2060,16,0.485,10,102,-1.57,0,0,0,0,nedelal01
58,Jake Oettinger,25,DAL,54,53,35,14,4,140,1476,1336,0.905,2.72,3,8.7,3085,29,0.547,10,98,2.67,0,0,0,2,oettija01
59,Jiří Patera,24,VEG,6,5,1,3,1,21,196,175,0.893,3.98,0,0.9,317,2,0.4,0,,,0,0,0,0,paterji01
60,Yaniv Perets,23,CAR,1,0,0,0,0,0,1,1,1,0,0,0,13,0,,0,,,0,0,0,0,peretya01
61,Calvin Petersen,29,PHI,5,4,2,2,0,18,132,114,0.864,3.9,0,0.2,277,2,0.5,2,,,0,0,0,0,peterca01
62,Calvin Pickard,31,EDM,23,20,12,7,1,53,581,528,0.909,2.45,1,3.7,1296,10,0.5,4,94,3.16,0,0,0,2,pickaca01
63,Cayden Primeau,24,MTL,23,21,8,9,4,66,731,665,0.91,2.99,2,4.7,1325,11,0.524,3,93,4.66,0,2,2,2,primeca01
64,Ivan Prosvetov,24,COL,11,8,4,3,1,26,248,222,0.895,3.16,0,1.2,494,4,0.5,3,,,0,0,0,0,prosviv01
65,Jonathan Quick,38,NYR,27,26,18,6,2,69,771,702,0.911,2.62,2,5,1583,12,0.462,3,93,5.53,0,1,1,8,quickjo01
66,Antti Raanta,34,CAR,24,20,12,7,2,63,493,430,0.872,2.99,1,1.3,1265,8,0.4,8,132,-15.35,0,0,0,0,raantan01
67,James Reimer,35,DET,25,20,11,8,2,70,727,657,0.904,3.11,2,4.2,1352,9,0.45,1,100,0.27,0,0,0,4,reimeja01
68,David Rittich,31,LAK,24,22,13,6,3,49,621,572,0.921,2.15,3,4.7,1365,14,0.636,1,82,11.03,0,0,0,0,rittida01
69,Georgi Romanov,24,SJS,2,0,0,0,0,1,30,29,0.967,1.01,0,0.4,59,0,,0,,,0,0,0,0,romange01
70,Ilya Samsonov,26,TOR,40,40,23,7,8,120,1087,967,0.89,3.13,3,4.7,2301,19,0.475,9,114,-14.93,0,1,1,0,samsoil01
71,Felix Sandström,27,PHI,5,3,1,2,0,17,96,79,0.823,3.87,0,-0.2,263,1,0.333,2,,,0,0,0,0,sandsfe01
72,Juuse Saros,28,NSH,64,64,35,24,5,173,1845,1672,0.906,2.86,3,11.1,3625,35,0.547,11,97,5.34,0,2,2,2,sarosju01
73,Akira Schmid,23,NJD,19,15,5,9,1,48,457,409,0.895,3.15,0,2.2,914,5,0.333,4,109,-3.83,0,2,2,2,schmiak01
74,Hunter Shepard,28,WSH,4,4,2,1,1,13,123,110,0.894,3.19,0,0.6,245,2,0.5,2,,,0,0,0,0,shepahu01
75,Igor Shesterkin,28,NYR,55,55,36,17,2,141,1606,1465,0.912,2.58,4,10.7,3277,32,0.582,10,91,14.24,0,1,1,6,shestig01
76,Arturs Silovs,22,VAN,4,4,3,0,1,10,84,74,0.881,2.47,0,0.3,243,2,0.5,1,,,0,0,0,0,silovar01
77,Stuart Skinner,25,EDM,59,57,36,16,5,147,1553,1406,0.905,2.62,2,9.2,3361,35,0.614,11,98,3.11,0,0,0,0,skinnst01
78,Arvid Söderblom,24,CHI,32,29,5,22,2,114,942,828,0.879,3.92,0,3.1,1744,10,0.345,6,125,-22.95,0,0,0,0,soderar01
79,Ilya Sorokin,28,NYI,56,55,25,19,12,167,1822,1655,0.908,3.01,2,11.4,3326,34,0.618,7,95,9.12,0,2,2,0,sorokil01
80,Anthony Stolarz,30,FLA,27,24,16,7,2,51,684,633,0.925,2.03,2,5.5,1506,17,0.708,2,77,15.12,0,2,2,2,stolaan01
81,Malcolm Subban,30,CBJ,1,1,0,1,0,3,35,32,0.914,3,0,0.2,60,1,1,0,,,0,0,0,0,subbama01
82,Jeremy Swayman,25,BOS,44,43,25,10,8,108,1287,1179,0.916,2.53,3,9.1,2566,27,0.628,5,87,16.4,0,1,1,0,swaymje01
83,Mads Søgaard,23,OTT,6,5,1,3,0,19,135,116,0.859,4.05,0,0.2,282,1,0.2,2,,,0,0,0,0,sogaama01
84,Cam Talbot,36,LAK,54,52,27,20,6,130,1490,1360,0.913,2.5,3,10,3116,32,0.615,7,90,14.02,0,3,3,4,talboca01
85,Daniil Tarasov,24,CBJ,24,23,8,11,3,73,796,723,0.908,3.18,0,5,1376,13,0.565,5,95,3.94,0,0,0,0,tarasda02
86,Logan Thompson,26,VEG,46,42,25,14,5,119,1298,1179,0.908,2.7,1,8.1,2645,25,0.595,6,95,6.47,0,3,3,0,thomplo01
87,Matt Tomkins,29,TBL,6,6,3,2,1,20,185,165,0.892,3.33,0,0.8,360,1,0.167,0,,,0,0,0,0,tomkima01
88,Linus Ullmark,30,BOS,40,39,22,10,7,103,1207,1104,0.915,2.57,2,8.3,2400,26,0.667,3,88,13.67,0,1,1,2,ullmali01
89,Vítek Vaněček,28,NJD,32,29,17,9,3,95,862,767,0.89,3.18,0,3.8,1792,12,0.414,8,114,-11.68,0,1,1,0,vanecvi01
90,Semyon Varlamov,35,NYI,28,27,14,8,4,69,837,768,0.918,2.6,3,6,1595,18,0.667,1,85,11.91,0,0,0,0,varlasi01
91,Andrei Vasilevskiy,29,TBL,52,52,30,20,2,148,1477,1329,0.9,2.9,2,7.9,3063,27,0.519,9,104,-5.23,0,2,2,2,vasilan02
92,Karel Vejmelka,27,ARI,38,33,13,19,2,114,1089,975,0.895,3.35,1,5.4,2040,14,0.424,10,108,-8.74,0,2,2,2,vejmeka01
93,Matt Villalta,24,ARI,2,1,0,1,0,5,29,24,0.828,4.17,0,-0.1,72,0,0,1,,,0,0,0,0,villama01
94,Daniel Vladař,26,CGY,20,19,8,9,2,68,574,506,0.882,3.62,0,2,1129,8,0.421,6,123,-12.52,0,0,0,0,vladada01
95,Jesper Wallstedt,21,MIN,3,3,2,1,0,9,87,78,0.897,3.01,1,0.4,179,2,0.667,1,,,0,0,0,0,wallsje01
96,Scott Wedgewood,31,DAL,32,28,16,7,5,85,844,759,0.899,2.85,0,4.5,1789,13,0.464,4,104,-3.42,0,0,0,0,wedgesc01
97,Dustin Wolf,22,CGY,17,15,7,7,1,50,467,417,0.893,3.16,0,2.2,951,7,0.467,2,111,-4.86,0,0,0,0,wolfdu01
98,Joseph Woll,25,TOR,25,23,12,11,1,72,772,700,0.907,2.94,0,4.7,1472,11,0.478,4,96,2.62,0,0,0,0,wolljo01